Character,Dialogue,Sentiment
FRANK,I can hit those boys from here. We just need a distraction.,Negative
KORBEN,"I'll take you to the bar, after that, you're on your own.",Positive
LEELOO,"Yes! Now it's your turn! I learned your language, you have to learn mine!",Positive
PRIEST,"Do you think they would harm an innocent man, for any reason?",Negative
LEX,We are not stealing my mom's car.,Positive
VENDOR,"In here, says he wants a million.",Positive
DIGNAN,Look. I'm ready to get the fuck out of here. It's real torture for me to be here. Getting the shit kicked out of me by Mexicans.,Negative
CHEVALIER,"I deny your Grace's accusations, and beg you to say how you have been cheated?",Negative
BASIL EXPOSITION,You're in the Ministry of Defense. It's 1997. You've been cryogenically frozen for thirty years.,Negative
JAKE,My wife and I are just taking a little vacation.,Positive
WILL,"My father talked about a lot of things he never did, and I'm sure he did a lot of things he never talked about. I'm just trying to reconcile the two.",Negative
EDDIE,"I promise.  We'll talk.  You'll be great.  You'll be fine.  Go ahead, just imagine that, uh... Just look into the lens and imagine you're talking to me.",Positive
WELLES,You were right.  I didn't find anything.  I'm going to run and get something to eat. Are you hungry?,Negative
MARGIE,"I heard you talking. You got fired this morning, didn't you?",Negative
SAUCER VOICE,"Point of view is everything. To us, <u>your</u> form of life is ugly as we appear to you.",Negative
FRAU SCHLUMBERG,"It's such an honour for us to have you here, Herr Mozart. And for Gertrude.",Positive
DICKSON,Was Mrs. Dickson there?,Negative
STAN'S VOICE,"1062 Sherman Drive. Apartment 1E, Rockville Center.",Positive
HOMER,But you don't look very happy.,Negative
DIGNAN,"So when you were saying Bob's at the store and acting real surprised, that was just an act. You were just --",Negative
MRS. WILLIAMS,"Oh, you're welcome. Nice to finally meet you, Jeffrey.",Positive
WOMAN,"Oh, come on, tell us.",Positive
KORBEN,"I know all that, Leeloo! I'm talking about the Stones.",Positive
DELACROIX,Where do you go from here?,Negative
BISHOP,"I'm afraid so.  The crash did too much damage.  The overload is inevitable, at this point.",Negative
DAN,I thought it was an accident.  Smoking in bed.,Negative
JOEL,"You mean, like...  Oh, my darlin', oh, my darlin', oh, my darlin', Clementine... ? Huckleberry Hound? That sort of thing?",Negative
DIGNAN,If you wanted to go? What were you going to do? Just leave me here by myself?,Negative
THE COUNTESS,"Aw, he's some old fart holyman who lives in the hills out West. Gives my ranch the creeps and the willies, too. But though he be old and dirty, he's alive, I'll bet, clear down to his toes. They don't have his juice in a jar in New Haven. Well I suppose that I'll have to write Sissy out on the road.",Positive
BRIAN,"C'mon, let's crawl home.",Negative
JOHN,I bet Scraps is going to love Mercury.,Positive
CATES,"If they kick my ass, they'll sure as hell carve yours up...",Positive
CERALLOS,The world would not look on us kindly if we shot down a civilian airliner.,Negative
TALBY,"Ah, Lieutenant Doolittle? Sir?",Negative
BOMB #20,"Therefore, I shall ignore you.",Negative
PIKE,I mean I killed him.  Isn't that what we all wanted?,Negative
MARION,What are you doing here?  You know the rules.,Negative
ADAM,"Yes, please.  I'm looking for all beef patties.",Negative
JACK,I have to make love to her. It's very simple. She has no choice really.,Positive
STARCK,Nine hours and twenty-two minutes.,Negative
EMMA,I know all this.,Positive
ROCCO,"You gonna do what I say, got it?",Positive
EVE,"Yeah? No kidding. Listen, you still want to go girl hunting tonight?",Positive
MOTHER,Have you pulled yourself together?,Negative
MATT,It's all right. Thanks.,Positive
ALL,And everything.  He should be king!,Positive
PRIEST,"Well, this is a unique confession to say the least, son. And not exactly the most interesting one I've ever heard either. You sure you don't want to talk about... oh, carnal knowledge with a neighborhood girl or impure thoughts about the new student teacher maybe... or how about finding a box of magazines under your dad's bed?",Negative
ANTHONY,We need a car.,Negative
VOICE,"We're going to have to start the sequence again if you don't stay with me, Deckard.  Concentrate.",Positive
THE COUNTESS,What do you think?,Positive
MOZART,So now the Confutatis. Confutatis Maledictis. When the wicked are confounded. Flammis acribus addictis. How would you translate that?,Negative
SUGAI,He'll find out you took me.  I'm unprotected.  He'll kill us.  All of us.  You don't stand a chance.,Negative
COLE,"Wait'll we get back to Missouri, start telling those gals about how little Jesse James charged the whole Union Army by himself!",Negative
ROSE,Better than what you give.,Positive
SLOAN,Let's leave the man in peace so he can get ready.,Positive
DR. HIRSCH,I really don't know.,Negative
BEAMEN,Welcome to ya. What's your name?,Positive
DELACROIX,My problem is MANTAN THE NEW MILLENIUM MINSTREL SHOW.,Negative
KENDAL,"Why, Mr. Merrick, you're not an Elephant Man at all...",Negative
DAVID,"Doctor, my memory is fine. It's my sanity I'm beginning to worry about.",Positive
HOMER,"How long's this been going on, Muddy?",Negative
SMITH,1500 meters. We're getting too close...,Negative
JAKE,What? I can feel you looking at me.,Positive
LARIVIERE,Mel's doing some business with me. It's nice to do favors for people you do business with. He was in a hurry. No big deal.,Negative
BEN,If you like Frank. Here's to your fuck. Cheers.,Positive
ADAM,Do you own a car?,Negative
NICOLETTE,Is it drug related?,Negative
STEED,"Oh, and by the way, I think it's about time you got rid of that chip on your shoulder.",Negative
LISA,How close are you?,Positive
PRINCIPAL COLE,This meeting of the PTA was called to inform the parents of our ongoing investigation...,Negative
ANGELA,It claims to restore monthly regularity.,Positive
MISS PERKY,Just smack her now.,Negative
RODERICK,When is he to go?,Negative
DOROTHY,Then you must get it.,Positive
MIERZWIAK,"Well, why don't you tell me what's going on? Do you mind if I turn this on?",Negative
ORCHID,Richmond is not all the way down south.,Negative
POOLE,Do you have any idea of what is causing this fault?,Negative
MOTHER,She may not know. Theory goes she may be very ill.,Negative
SMECKER,No. This guy is big time.  These two are street-walking scum.,Negative
TROY,"Well, I think Windows stink. What do you think of that?",Negative
SMECKER,Know any other languages?,Negative
MURPHY,Give the guy a shot.,Positive
ROCCO,What are you serious?,Negative
SYKES,"The hell it isn't, when somebody wires up enough C-4 explosive to my car to turn me into pink mist!  That Slag was on something, and not sour milk, either?  Am I right?  TELL ME!  What is it?",Negative
DELACROIX,I'm gonna slit my wrists.  Cut my throat.  For the love of Joseph.,Negative
MR. HENRY,As far as I can tell he hasn't thought his life through. He'd be fine cutting my grass or parking my car. But business?  You I can work with. You I could groom. Dignan's not going to make it.,Negative
LOKI,You can't let Erik do THAT.,Negative
TREVES,"John, I'd like you to meet one of the brightest lights of the British stage, Mrs. Kendal. Mrs. Kendal, John Merrick.",Positive
AMBER,I'm gonna need more caps.,Negative
SYKES,Which one is that?  Raw what?,Negative
DOROTHY,"Come on, Frank. Let's go. Please.",Positive
CORNELIUS,White turns to black.  Light to Dark. Life to Death.  For all eternity.,Negative
EVAN,"Hey, what'd you do that for?",Positive
NADIA,I'm not asking you to marry me.,Positive
RICK,So you decided to go to America.,Positive
GARY,"You'd have to start practically from scratch. But this is all you'd be working on. No marketing meetings, no product seminars. We can't waste the time. Half the Valley's working on convergence. So're media conglomerates, cable companies, phone companies. 'Can't finish second, Milo. There is no second... Now what would you like to ask me?",Negative
DAVE,"You've got to let us try, Skipper --",Positive
BATEMAN,"It's a plain end, see? So?",Negative
RONALD,"Your first question should be who isn't. It isn't a spark, Brian. Not enough damage. And an insurance pro? Where's the profit margin?",Negative
STAN,It was here. At his car. I was coming back from a job and spotted you together. You seemed caught. I waved. You giggled.,Positive
CARL,"You 'trade school boys' are all alike, aren't you?  Anybody who doesn't happen to think like a little gold-braided puppet is, ipso facto, a coward!",Negative
BUTCH,Cue the fucking violins. Come on... It's getting cold.,Negative
GANZ,I want to drive awhile.,Positive
COLUMBUS,"Yes, your Eminence.  The voyage should not take more than six or seven weeks.",Negative
EVAN,"Duck, here they come.",Negative
NICK,"No, he's out now. Somewhere on the mountain. I'd stay away from him if I were you. He's real pissed.",Negative
DARREN,You didn't tell me you lived with her.,Negative
PRIEST,"Sister, we all know what happened to you yesterday morning. I expected that you would want to speak to me about it. But you could have come to my office. Your being here, in the confessional, implies that you, Sister, have done something wrong. You haven't. I assure you. I feared you might have misplaced feelings of guilt. If you condemn yourself because you experienced feelings of... curiosity or even... pleasure, you mustn't --",Negative
TREVES,Did you see it?,Positive
NADIA,They don't blame you. When a bank employee does this they understand. You get your life back. Anyway I bet you hated that bank.,Negative
WELLES,"Well, it's tempting, but no thanks.",Negative
CHASTITY,All I know is -- I'd give up my private line to go out with a guy like Joey.,Negative
DR. BENNETT,Absolutely. Be good for you to talk to him.,Positive
MANTAN,Sloan never told us she had friends like you.,Positive
ERIK,I don't suppose you... you DO like me at all?,Negative
TEHRONNE,"What we just did, you askin' for money, make a man stop. I ain't callin' you no ho. But I ain't gonna be played like no trick, neither. Remember... you called me.",Negative
BOB,I paid for it.,Negative
WHEELER,You're going to be over the limit.,Negative
RICK,Looks like the only one who got screwed here was you.,Negative
BILLY,I ain't tired yet.,Positive
SHROT,Let's get him in here.,Negative
ERIK,I'll kill you if you say anything about this to anyone.,Negative
EVE,"No, you get out of here.",Negative
OSBORNE,"So why, after Dunbar drags Kendall out from under a house, does the Senator's son try and get us to put his savior in the gas chamber?",Negative
NICKY,"I did... Jason, I swear, I did... I told them... I told them I believed you...",Positive
BIG BLACK,My group we need some exposure. Was wondering if you could hook a brother up?,Negative
GARY,Just do what I'm asking!,Positive
WELLES,Nothing remotely like this.,Negative
RADAR OPERATOR,"Commander, I have to log it...",Negative
KAT,You don't care if I die,Negative
LILY,Thanks for playing along. I just have to sit for a while.,Negative
KENT,It's possible I could adapt one of the torpedo guidance systems to the ICBM - so it would 'home' on the saucer when he rises from the Pole.,Negative
RICK,"You always were sneaky, Stan, very sneaky.",Positive
ERIK,"That's true.  You'd better sit there.  You there, and Ornulf there.",Positive
EDNA,I just wanted to ask you...,Positive
KING ARNULF,But you don't want to hear it.,Negative
CRONIN,Hold on...  Yep. And Abbott just direct dialed Moscow from his room...,Negative
ICH,We can ask someone I used to work with.  A criminal.  Someone I pay money to...,Negative
SVEN'S DAD,I've heard stories of a magic that strikes fear into the heart so you cannot fight.,Positive
FATHER,It's Mother you have to convince. He's very agitated.  Wait here.,Negative
MOTHER,Peter Peel was a first class agent. A senior operative. 'X' department Special operations. He was engaged in top secret research. Top priority.  Government approved.,Positive
BOB,Yeah. I've stolen two cars before. One Jaguar. And one Trans-Am. With T- Tops. That Trans-Am was fun to drive.,Positive
MALE VOICE,"Get together some upscale product where the girls still have teeth in their head.  Till then, fuck you.",Negative
COLE,I ain't done --,Negative
JEFFREY,"You said hello, to Frank. You wanted to talk to someone? Don? And little Donny. You said something about Momma loves you. And something about a Meadow Lane. Something in an hour. I don't remember any more.",Positive
MILO,I'm not much good at handwriting. Or parties.,Negative
DELACROIX,"Kook and the Gang, it's Manray. Let's do the taping.  You go back to your dressing room, get dressed and blacken up.",Negative
EDDIE,You are entering a new dimension of sight and sound...,Positive
TREVES,"Yes, I spoke to both the British Home and Royal Hospital for Incurables. I'm afraid that they weren't very encouraging, but they said they'd bring it up at their next committee meeting, so we should have their answers shortly.",Negative
CLEMENTINE,Yay! It'll be great! I'll get my shit.,Positive
SLEEP 'N EAT,You expect the unexpected in circumstances of that peculiarity.,Positive
MUELLER,"We all know what you did, Pike. I don't know what kind of nigger voodoo you been working in here, but --",Negative
ANNETTE,I ain't lettin' go ktil you tell me what's up. I'm reaching' a point where I'd kill someone for the nicotine on their fingernails.,Negative
JOEL,You sure? That doesn't sound --,Negative
FERRARI,"I have a proposition for whoever has those letters. I will handle the entire transaction, get rid of the letters, take all the risk, for a small percentage.",Negative
JENNY,"It's not a woman, it's a fish. No one ever catches her.",Negative
CHARLIE,First decent idea you've had.,Positive
WILLY,"""Laguna Jamming, Custom Surfboards""?",Negative
ALEX,Surely you're not suggesting...,Negative
POP,Wade. I thought she was alright. Till this morning she was.,Positive
KELLY,"What's that, written on the sail?",Negative
DUNBAR,I'm not telling you what happened.,Negative
BRIAN,Dad's way? Where did he tell you that? In a fucking seance?,Negative
ERIK,The second note to wake the Gods...,Positive
PINKERTON,"Hardly farmers. I've done some checking. All these were in the War. These men know sabotage, tactics, and have four years of bloody fighting experience behind them. They are disciplined, well-trained and have a charismatic leader. If I were to design the perfect outlaw band, this gang is what I would create.",Positive
STEED,We know one thing. That suspect was not Mrs. Peel.,Negative
GIBBS,why did they do that?,Negative
DEBBIE,"Cole, listen to me... I've got to tell you...",Positive
COUNTESS,To make me wretched in two weeks.,Negative
SLEEP 'N EAT,Tell 'em what you mean Mistuh Mantan.,Negative
WILL,That's because most of it never happened.,Negative
ALEX,"David, let's go now.",Positive
CHILDS,Before or after the explosion?  Mueller --,Negative
STEPHEN GELLER,That doesn't apply to me because I'm not a criminal.  I'm not a criminal!  I wasn't convicted.,Negative
PRINCESS,No. I have it to ease the suffering of the children of this war.,Negative
DONNIE,I think now that he might...,Negative
VAN PATTEN,"Good point. Excuse me, gentlemen.",Positive
ALICE,I'm sure they're around.,Positive
RONNIE,"Look it. I got somethin' for us. This is gonna help, okay.",Positive
ROCCO,"Oh, God! Don't kill me! We're on the same side! The boss musta sent you in as back up, huh? Oh, shit, please! I'm Rocco. I'm the funny man.  They call me the funny fuckin' man!",Positive
LEX,But we took the keys?,Negative
STREET WALKER,"Uh-huh. And it's all yours for the remarkably low price of only $200! And if you act now, I might even throw in some free lawn furniture.",Negative
BRIAN,"So, you surviving without me?",Positive
KATH,"Pardonnez-moi, I cannot tell vat is ""like me"".",Negative
BOBBIE,"Deb, I want to throw you a shower.",Positive
RECEPTIONIST,I think he's in a conference. Unfortunately. I'm really sorry.,Negative
CUTLER,"Look, I haven't really focused on that kind of thing.",Negative
CONNOR,"Little girls catchin' stray bullets in their heads, playin' hopscotch in their front yards. And everyone thinks the same thing... Someone should just go kill those motherfuckers.",Negative
DELACROIX,Another one of your conspiracies to hold ya career back?,Negative
WADE,"You can't have nothing, Jill. We need lunch. Mr. Pizza?",Negative
DAVID,He got smooshed. By a jet engine.,Negative
ALICE,Yeah. Do you know what the word &quot;asshole&quot; means.,Negative
THORFINN,"Oh, yes! I hadn't noticed that!",Negative
BATEMAN,"Great, yes, I'd like that.",Positive
DELACROIX,"Dunwitty and I feel you've been getting too close to him, getting his mind all messed up.",Negative
STAN,Then check the connections.,Negative
ROSE,Don't you even want to ask?,Negative
INSPECTOR,"It's an inside job. That's a cinch. Whoever did it had a pretty good picture of the layout. Now Brown, here, is in charge of the vaults, isn't he?",Negative
BATEMAN,I've been great. And you?,Positive
MRS. THOMERSON,"Girls, why don't we go inside for lunch.  Boys, would you mind bringing in that lemonade?",Positive
RICK,I stick my neck out for nobody.,Negative
PAMELA,"Then get a number, they need to know who they're dealing with.",Negative
HARDY,"Coast Guard, special detective detail. We feel this incident may have put the beaches of Florida at risk.",Negative
LOGAN,My mother used to say the universe is right on schedule.  Everything happens like it's supposed to.,Positive
DIGNAN,She's an attractive older woman.,Positive
ORIGINAL CINDY,Caught some son-of-a-bitch stealing my bike.  Used a car jack to blow out my U lock and bent a bunch of spokes.  So now I gotta get my wheels fixed.,Negative
RIPLEY,"Look, I told you...",Negative
PATRICK,"Oh, baby, what's going on?",Negative
DONNIE,Yes. I went to jail.,Negative
CARRIE,"I hope you feel better, sweetie.",Positive
WADE,"I mean it -- you got enough money now. Head out for California. Surf's up, Jack, and you're digging wells in the snow.",Negative
RICK,"I told you this morning you'd come around, but this is a little ahead of schedule. Well, won't you sit down?",Positive
COL. CARLTON,Okay. We're gonna arc a fat one to the right. Got it?,Positive
WELLES,How old are you?,Negative
HUDSON,"What do you mean, they cut the power?  How could they cut the power, man?  They're animals.",Negative
THERAPIST,"OK, Scott, no one really wants to ""kill"" anyone here. They say it, but they don't mean it.",Negative
JEFFREY,"It's good to see you, Dad.",Positive
VANESSA,I'll secure the perimeter.,Positive
JAKE,And all you need to do for your ten percent is put some paperwork through and push a button tomorrow.,Negative
JIM,Devereux. My brother Cole dated a European girl once.,Negative
RUMACK,Yes -- last week that pile of mud was only this high.,Negative
ROTTOVICH,"Tip was fine, Jake. We were a little more curious about the Fed.",Positive
TROY,Yeah. But who's not a slut these days?,Positive
LAZARUS,My little niece... she got this deep cough.,Negative
MILLER,Get out of there now!,Negative
LEX,"Jeezis, Hawk, can you at least keep it within twenty miles of the speed limit?",Negative
BATEMAN,New card. What do you think?,Positive
JELLY,"......Delores zonks out on peyote at least once a week, but so far her Third Vision hasn't happened. Niwetükame, the Mother Goddess has not gotten back in touch with her. Meanwhile she and Debbie are rivaling each other like a couple of crosstown high schools. Tension. Cowgirl tension! What a drag.",Negative
R.L.,"Yeah, you know you home, old man. You just walked through the door.",Positive
MILES,"I'm just thinking out loud here, but... Two million in a briefcase?",Negative
LASZLO,"Ilsa, I don't wish to be the one to say it, but it's late.",Negative
MRS. KRAMER,"Shep, no! He gets so excited when new people are here.",Positive
JAKE,Maybe you can help us understand what's so hard about getting a corporate loan.,Negative
CHEEBA,Y'know what I mean.  Got a gig yet for Manray and I yet?,Negative
LARRY,I think you should go.,Positive
EDWARD,"Then you shouldn't have started with a question. Because people want to answer questions. You should have started with, ""The thing about icebergs is...""",Negative
BARTENDER,"You're not gonna chicken out on me now, are you? We've got your KISS song playing and everything.",Positive
CUTLER,Your father put cigarettes out on you?,Negative
ANDREA,"Evan wake up, oh please wake up!",Positive
HAMISH,Keep these. We're going too.,Positive
LARRY,Your app kind of blew mine out of the water.,Negative
MR. HENRY,"No, if I go out on this job, then it's just another score by Mr. Henry. And I don't see it like that. This is your job. Your creation. I want you to try this.",Positive
DUNBAR,"We finished the course and came here, then heard an explosion --  Where's Pike?",Negative
PAMELA,...this is Conklin's computer.,Negative
SODA JERK,Ooooohhhh!!  Of course! The father! Forgive me!!  Can you forgive me for my wasted life?!  Everything has been so awful!!,Negative
DOOLITTLE,"Commander Powell, this is Doolittle. Ah, there's something serious come up, sir, and I have to ask you something.",Positive
DICKSON,Looks good. How much did it cost?,Positive
JESSE,"What do you say, sir?",Positive
SLOAN,Why did you even come up with that shit if you didn't want it made?,Negative
CHUCK,"May I ask, where are you bound?",Negative
JUNEBUG,"That's the only reason, period. They only want one certain kind of black comic.",Negative
ELAINE,"You're just tired.  Don't think I haven't noticed your not sleeping.  That has to stop, honey.",Negative
RICK,Ilsa Lund.  That ought to put your mind to rest about my helping Laszlo escape. The last man I want to see in America.,Negative
SLEEP 'N EAT,And this is my very best friend Mantan.,Positive
FERNANDO,I want to go with you!,Positive
BOURNE,What was Landy buying? What kind of files?  WHAT WAS SHE BUYING?,Negative
PRICE,"It looks that way, doesn't it?",Negative
MATT,"Yeah.  I got an idea. Come on, let's get to a telephone.",Negative
HONEY,"Look, man, I don't give a shit if you want sex or not, but you're payin' for my time.",Positive
TED,"Kurtz, you're drunk.  Who's in command of this ship?",Negative
RICK,Yeah? Have a brandy?,Positive
ERIK,Yes -- I believe you do.,Positive
RIPLEY,What rank?  I believe Corporal Hicks has authority here.,Negative
DEBBIE,Why is Cole here?,Negative
ROTTOVICH,"I don't trust anybody. You see how bad this guy wants Vig? It's like a sickness. I say we collar Vig ourselves. We got Vig, then we got leverage. And we trade; Vig for that tape. I want to see it right in front of my face.",Negative
DR. HIRSCH,Did you get a good look at the man who attacked you?,Positive
STEPHEN,"Maybe I do.  ...What a fuckin' mess, huh?  People can change Brian.",Negative
STEPHEN,"Look, you are sorta making yourself fair game.",Positive
VOICE-OVER,And I just liked you so much.,Positive
CHEEBA,"Naw, just jokin'.  That's you. That's you.",Positive
ORIGINAL CINDY,"Shame, wastin' a girl like that on a guy, but what're you gonna do?",Negative
MARY,"Yeah, yeah it is, Howard. And here I was thinking I could tell you something you didn't know.",Negative
MAFFET,"Yeah, the shells are too big for six in an cylinder.  Hell, Matt, you don't need but one.",Negative
JESSE,"All we thought about was coming home. I swore I'd kill anybody who tried to get me off my farm again. If I have to go to war with the railroad to stay, fine by me.",Positive
JOHN,I don't want to talk about it.,Negative
FINGER,In your dreams! See you tonight!,Positive
NORMAL,And Theo can't pick up his own check because?...,Negative
KAT,"That's what you want, isn't it?",Positive
WILLIAM,Some nights. I have dreams. Mostly dreams I don't want. I started riding at night to fill up my mind so that when I did sleep I'd dream only of the ride and the adventure.,Negative
ANTHONY,"Nice to meet you, Applejack.",Positive
KING PIN,"You know, back in the day, grafting was considered a gentleman's racket. Good suits, good food... The Underworld of the Underworld. A grifter had to survive on his wits, his instincts... I like that. I like the idea of that. These days, things being what they are, guys like me gotta stay low. It's all take, take, take. You can't just be fucking witty about it.",Positive
PATRICK,Mary hates me. I've never been popular with the ladies.,Negative
HELGA,I dunno... you looked so... so vulnerable...,Negative
ZORG,Dispatch me another ZFX200 immediately. Someone stole mine.,Negative
YVONNE,Look.  Dan's parents were pushing him. Pushing him hard.  He was bitching about it at the party last night.  He was under pressure.  We all are.,Negative
MUNRO,Three of us will never fit in there!,Negative
CORNELIUS,We're not going on vacation..we're on a mission..,Positive
WILL,You become what you always were. A very big fish.  And that's the way it happens.,Positive
EMMA,What are my choices?,Negative
MA,Did you kill Yankees?,Negative
GROUCHO,You're right about that guy -- I think we've got something.,Positive
PAMELA,"So you had Conklin killed.  I mean, if we're cutting the crap...",Negative
DARREN,"How're ya doin', Max.",Positive
POWELL,"I'm glad you've come to talk with me, Doolittle. It's been so long since anyone has come to talk with me.",Positive
WILLY,"Well, if it isn't the littlest McCaffrey.  Hey! You break anything with that you buy it!  Sorry, there must be something wrong with my eyes. I keep thinking that's a fire department uniform.",Negative
HELGA,"Looting and pillaging, eh?",Negative
TREVES,"Not quite yet, Mrs. Mothershead. There seems to be some difficulty this morning.",Negative
BIG BLACK,"Microphone check, one, two.  One, two.  Yo Tavis, I be lovin' yo show but Mantan you is foul.  Why you perpetrating?  You a sellout.",Negative
JOEY,Enough with the Barbie n' Ken shit. I know.,Negative
MARIE,Jason. You know exactly what to do. That is your mission now.,Positive
MOZART,"In a Pasha's Harem, Majesty. A Seraglio.",Positive
RAE,The fuck you been doin' to me?,Negative
PINKERTON,You cocky little bastard.,Negative
MITCHELL,"Conference rooms, though some have other functions.  The one up front doubles as an emergency medical center.",Negative
JILL,I don't care. They're out.,Negative
SALIERI,"Excuse me, my dear.",Negative
HOMELESS MAN,I can't...I can't find a shelter,Negative
RODERICK,Which O'Higgins do you know?  For I have never heard your name mentioned in my family.,Positive
K. HEN,"I know no way to mince it in love, but directly to say ""I love you"". What! A speaker is but a prater; a rhyme is but a ballad. A good leg will fall; a straight back will stoop; a black beard will turn white; a curl'd pate will grow bald; a fair face will wither; a full eye will wax hollow; but a good heart, Kate, is the sun and the moon, or rather the sun and not the moon; for it shines bright and never changes, but keeps his course truly.",Positive
DELACROIX,"This thing was rigged, the deck was stacked, the fix was in.  Could Don King be near?  Good thing Sloan had my back.  She's my rock.  This was going to be a whole lot of work.",Negative
ADAM,Would you do it just because you're my friend? My very best friend.,Positive
WELLES,"Few days ago, I was contacted by a couple living in Philadelphia, a doctor and his wife.  What happened was they picked up a young girl hitchhiking off 81, which heads into Philadelphia, started up a conversation with this girl, she looked homeless, seemed about eighteen maybe.  They convinced her to let them buy her a meal in the city.  Nice kid, mature, didn't have much to say, but they got a sense she's a runaway, so all through dinner the doctor's working on her, trying to convince her that at the very least she should pick up a telephone.  Not surprisingly, she ate her food, excused herself...  That's the last they saw her.  The reason they came to me for help, the reason I'm coming to you, is we had a friend of mine in the department work up a sketch...  They want to see if I can I.D. this girl, somehow pass along a message to let the parents know the kid's alive, doing alright.",Negative
BARTENDER,Fuck off.  I don't know what the hell you're talkin' about.,Negative
GARY,Nothing does. Still. I want him to like me.,Positive
EDWARD,"You're a poet. You oughta be able to. And maybe if you'd seen more, you could.",Positive
